id,label,label_desc
146,26,Non-Exercise
147,26,Non-Exercise
148,54,Triceps extension (lying down)
149,26,Non-Exercise
150,25,Medicine Ball Slam
151,26,Non-Exercise
152,26,Non-Exercise
153,26,Non-Exercise
154,56,V-up
155,26,Non-Exercise
156,26,Non-Exercise
157,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
158,26,Non-Exercise
159,8,Device on Table
160,26,Non-Exercise
161,3,Biceps Curl (band)
162,27,Overhead Triceps Extension
163,23,Lawnmower (right arm)
164,44,Squat (hands behind head)
165,42,Squat
166,26,Non-Exercise
167,26,Non-Exercise
168,26,Non-Exercise
169,26,Non-Exercise
170,19,Jumping Jacks
171,26,Non-Exercise
172,56,V-up
173,56,V-up
174,53,Triceps Kickback (knee on bench) (right arm)
175,26,Non-Exercise
176,26,Non-Exercise
177,26,Non-Exercise
178,26,Non-Exercise
179,26,Non-Exercise
180,50,Tap Right Device
181,0,Arm Band Adjustment
182,32,Repetitive Stretching
183,26,Non-Exercise
184,30,Pushup (knee or foot variation)
185,30,Pushup (knee or foot variation)
186,26,Non-Exercise
187,26,Non-Exercise
188,26,Non-Exercise
189,49,Static stretch
190,21,Lateral Raise
191,8,Device on Table
192,26,Non-Exercise
193,45,Squat (kettlebell / goblet)
194,26,Non-Exercise
195,26,Non-Exercise
196,26,Non-Exercise
197,26,Non-Exercise
198,26,Non-Exercise
199,56,V-up
200,24,"Lunge (alternating both legs, weight optional)"
201,49,Static stretch
202,26,Non-Exercise
203,28,Plank
204,26,Non-Exercise
205,26,Non-Exercise
206,26,Non-Exercise
207,17,Fast Alternating Punches
208,54,Triceps extension (lying down)
209,26,Non-Exercise
210,26,Non-Exercise
211,26,Non-Exercise
212,60,Wall Squat
213,26,Non-Exercise
214,29,Power Boat pose
215,36,Seated Back Fly
216,26,Non-Exercise
217,26,Non-Exercise
218,24,"Lunge (alternating both legs, weight optional)"
219,26,Non-Exercise
220,4,Burpee
221,30,Pushup (knee or foot variation)
222,51,Triceps Kickback (knee on bench) (label spans both arms)
223,16,Elliptical machine
224,18,Jump Rope
225,26,Non-Exercise
226,5,Butterfly Sit-up
227,26,Non-Exercise
228,24,"Lunge (alternating both legs, weight optional)"
229,14,Dumbbell Squat (hands at side)
230,26,Non-Exercise
231,26,Non-Exercise
232,40,Sit-up (hands positioned behind head)
233,26,Non-Exercise
234,31,Pushups
235,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
236,26,Non-Exercise
237,11,Dumbbell Row (knee on bench) (label spans both arms)
238,26,Non-Exercise
239,40,Sit-up (hands positioned behind head)
240,43,"Squat (arms in front of body, parallel to ground)"
241,26,Non-Exercise
242,27,Overhead Triceps Extension
243,11,Dumbbell Row (knee on bench) (label spans both arms)
244,26,Non-Exercise
245,59,Wall Ball
246,26,Non-Exercise
247,26,Non-Exercise
248,50,Tap Right Device
249,26,Non-Exercise
250,26,Non-Exercise
251,26,Non-Exercise
252,26,Non-Exercise
253,26,Non-Exercise
254,7,Crunch
255,26,Non-Exercise
256,1,Band Pull-Down Row
257,36,Seated Back Fly
258,26,Non-Exercise
259,27,Overhead Triceps Extension
260,50,Tap Right Device
261,26,Non-Exercise
262,26,Non-Exercise
263,26,Non-Exercise
264,35,Russian Twist
265,26,Non-Exercise
266,26,Non-Exercise
267,26,Non-Exercise
268,26,Non-Exercise
269,26,Non-Exercise
270,26,Non-Exercise
271,52,Triceps Kickback (knee on bench) (left arm)
272,26,Non-Exercise
273,31,Pushups
274,26,Non-Exercise
275,34,Running (treadmill)
276,8,Device on Table
277,32,Repetitive Stretching
278,26,Non-Exercise
279,57,Walk
280,26,Non-Exercise
281,41,Sit-ups
282,26,Non-Exercise
283,12,Dumbbell Row (knee on bench) (left arm)
284,26,Non-Exercise
285,26,Non-Exercise
286,19,Jumping Jacks
287,58,Walking lunge
288,56,V-up
289,26,Non-Exercise
290,46,Squat Jump
291,56,V-up
292,26,Non-Exercise
293,40,Sit-up (hands positioned behind head)
294,8,Device on Table
295,26,Non-Exercise
296,26,Non-Exercise
297,43,"Squat (arms in front of body, parallel to ground)"
298,37,Shoulder Press (dumbbell)
299,37,Shoulder Press (dumbbell)
300,26,Non-Exercise
301,9,Dip
302,37,Shoulder Press (dumbbell)
303,26,Non-Exercise
304,52,Triceps Kickback (knee on bench) (left arm)
305,8,Device on Table
306,44,Squat (hands behind head)
307,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
308,58,Walking lunge
309,26,Non-Exercise
310,9,Dip
311,3,Biceps Curl (band)
312,14,Dumbbell Squat (hands at side)
313,10,Dumbbell Deadlift Row
314,26,Non-Exercise
315,26,Non-Exercise
316,26,Non-Exercise
317,35,Russian Twist
318,21,Lateral Raise
319,26,Non-Exercise
320,38,Side Plank Left side
321,26,Non-Exercise
322,26,Non-Exercise
323,26,Non-Exercise
324,26,Non-Exercise
325,37,Shoulder Press (dumbbell)
326,50,Tap Right Device
327,26,Non-Exercise
328,26,Non-Exercise
329,26,Non-Exercise
330,26,Non-Exercise
331,25,Medicine Ball Slam
332,5,Butterfly Sit-up
333,39,Side Plank Right side
334,8,Device on Table
335,26,Non-Exercise
336,26,Non-Exercise
337,26,Non-Exercise
338,26,Non-Exercise
339,39,Side Plank Right side
340,26,Non-Exercise
341,18,Jump Rope
342,26,Non-Exercise
343,26,Non-Exercise
344,5,Butterfly Sit-up
345,18,Jump Rope
346,32,Repetitive Stretching
347,26,Non-Exercise
348,24,"Lunge (alternating both legs, weight optional)"
349,31,Pushups
350,26,Non-Exercise
351,11,Dumbbell Row (knee on bench) (label spans both arms)
352,26,Non-Exercise
353,3,Biceps Curl (band)
354,25,Medicine Ball Slam
355,30,Pushup (knee or foot variation)
356,39,Side Plank Right side
357,18,Jump Rope
358,26,Non-Exercise
359,9,Dip
360,26,Non-Exercise
361,26,Non-Exercise
362,1,Band Pull-Down Row
363,54,Triceps extension (lying down)
364,26,Non-Exercise
365,42,Squat
366,26,Non-Exercise
367,17,Fast Alternating Punches
368,26,Non-Exercise
369,28,Plank
370,5,Butterfly Sit-up
371,26,Non-Exercise
372,26,Non-Exercise
373,41,Sit-ups
374,42,Squat
375,18,Jump Rope
376,60,Wall Squat
377,26,Non-Exercise
378,26,Non-Exercise
379,38,Side Plank Left side
380,26,Non-Exercise
381,24,"Lunge (alternating both legs, weight optional)"
382,24,"Lunge (alternating both legs, weight optional)"
383,26,Non-Exercise
384,28,Plank
385,26,Non-Exercise
386,48,Static Stretch (at your own pace)
387,26,Non-Exercise
388,54,Triceps extension (lying down)
389,27,Overhead Triceps Extension
390,26,Non-Exercise
391,43,"Squat (arms in front of body, parallel to ground)"
392,26,Non-Exercise
393,26,Non-Exercise
394,26,Non-Exercise
395,26,Non-Exercise
396,28,Plank
397,15,Dynamic Stretch (at your own pace)
398,26,Non-Exercise
399,26,Non-Exercise
400,8,Device on Table
401,26,Non-Exercise
402,26,Non-Exercise
403,26,Non-Exercise
404,43,"Squat (arms in front of body, parallel to ground)"
405,51,Triceps Kickback (knee on bench) (label spans both arms)
406,26,Non-Exercise
407,26,Non-Exercise
408,10,Dumbbell Deadlift Row
409,26,Non-Exercise
410,26,Non-Exercise
411,26,Non-Exercise
412,26,Non-Exercise
413,26,Non-Exercise
414,8,Device on Table
415,28,Plank
416,25,Medicine Ball Slam
417,26,Non-Exercise
418,26,Non-Exercise
419,57,Walk
420,26,Non-Exercise
421,57,Walk
422,26,Non-Exercise
423,26,Non-Exercise
424,6,Chest Press (rack)
425,27,Overhead Triceps Extension
426,26,Non-Exercise
427,26,Non-Exercise
428,26,Non-Exercise
429,26,Non-Exercise
430,26,Non-Exercise
431,49,Static stretch
432,46,Squat Jump
433,26,Non-Exercise
434,26,Non-Exercise
435,20,Kettlebell Swing
436,32,Repetitive Stretching
437,26,Non-Exercise
438,56,V-up
439,29,Power Boat pose
440,42,Squat
441,36,Seated Back Fly
442,30,Pushup (knee or foot variation)
443,26,Non-Exercise
444,26,Non-Exercise
445,11,Dumbbell Row (knee on bench) (label spans both arms)
446,26,Non-Exercise
447,13,Dumbbell Row (knee on bench) (right arm)
448,26,Non-Exercise
449,26,Non-Exercise
450,37,Shoulder Press (dumbbell)
451,3,Biceps Curl (band)
452,26,Non-Exercise
453,8,Device on Table
454,26,Non-Exercise
455,22,Lawnmower (left arm)
456,26,Non-Exercise
457,9,Dip
458,26,Non-Exercise
459,30,Pushup (knee or foot variation)
460,26,Non-Exercise
461,26,Non-Exercise
462,9,Dip
463,37,Shoulder Press (dumbbell)
464,26,Non-Exercise
465,10,Dumbbell Deadlift Row
466,26,Non-Exercise
467,26,Non-Exercise
468,25,Medicine Ball Slam
469,51,Triceps Kickback (knee on bench) (label spans both arms)
470,20,Kettlebell Swing
471,26,Non-Exercise
472,26,Non-Exercise
473,54,Triceps extension (lying down)
474,26,Non-Exercise
475,6,Chest Press (rack)
476,47,Squat Rack Shoulder Press
477,19,Jumping Jacks
478,26,Non-Exercise
479,14,Dumbbell Squat (hands at side)
480,26,Non-Exercise
481,26,Non-Exercise
482,17,Fast Alternating Punches
483,26,Non-Exercise
484,36,Seated Back Fly
485,25,Medicine Ball Slam
486,26,Non-Exercise
487,26,Non-Exercise
488,26,Non-Exercise
489,3,Biceps Curl (band)
490,56,V-up
491,26,Non-Exercise
492,5,Butterfly Sit-up
493,23,Lawnmower (right arm)
494,36,Seated Back Fly
495,26,Non-Exercise
496,35,Russian Twist
497,10,Dumbbell Deadlift Row
498,26,Non-Exercise
499,17,Fast Alternating Punches
500,26,Non-Exercise
501,26,Non-Exercise
502,60,Wall Squat
503,26,Non-Exercise
504,26,Non-Exercise
505,26,Non-Exercise
506,8,Device on Table
507,23,Lawnmower (right arm)
508,26,Non-Exercise
509,26,Non-Exercise
510,21,Lateral Raise
511,26,Non-Exercise
512,27,Overhead Triceps Extension
513,46,Squat Jump
514,26,Non-Exercise
515,26,Non-Exercise
516,26,Non-Exercise
517,26,Non-Exercise
518,26,Non-Exercise
519,26,Non-Exercise
520,10,Dumbbell Deadlift Row
521,26,Non-Exercise
522,56,V-up
523,43,"Squat (arms in front of body, parallel to ground)"
524,30,Pushup (knee or foot variation)
525,50,Tap Right Device
526,26,Non-Exercise
527,33,Rowing machine
528,26,Non-Exercise
529,26,Non-Exercise
530,26,Non-Exercise
531,17,Fast Alternating Punches
532,26,Non-Exercise
533,13,Dumbbell Row (knee on bench) (right arm)
534,26,Non-Exercise
535,28,Plank
536,26,Non-Exercise
537,15,Dynamic Stretch (at your own pace)
538,26,Non-Exercise
539,26,Non-Exercise
540,26,Non-Exercise
541,26,Non-Exercise
542,26,Non-Exercise
543,26,Non-Exercise
544,39,Side Plank Right side
545,30,Pushup (knee or foot variation)
546,26,Non-Exercise
547,26,Non-Exercise
548,26,Non-Exercise
549,26,Non-Exercise
550,16,Elliptical machine
551,24,"Lunge (alternating both legs, weight optional)"
552,26,Non-Exercise
553,26,Non-Exercise
554,46,Squat Jump
555,26,Non-Exercise
556,26,Non-Exercise
557,37,Shoulder Press (dumbbell)
558,26,Non-Exercise
559,8,Device on Table
560,26,Non-Exercise
561,32,Repetitive Stretching
562,26,Non-Exercise
563,45,Squat (kettlebell / goblet)
564,26,Non-Exercise
565,5,Butterfly Sit-up
566,35,Russian Twist
567,7,Crunch
568,26,Non-Exercise
569,14,Dumbbell Squat (hands at side)
570,25,Medicine Ball Slam
571,26,Non-Exercise
572,26,Non-Exercise
573,26,Non-Exercise
574,26,Non-Exercise
575,26,Non-Exercise
576,26,Non-Exercise
577,26,Non-Exercise
578,28,Plank
579,8,Device on Table
580,26,Non-Exercise
581,26,Non-Exercise
582,6,Chest Press (rack)
583,26,Non-Exercise
584,14,Dumbbell Squat (hands at side)
585,26,Non-Exercise
586,26,Non-Exercise
587,15,Dynamic Stretch (at your own pace)
588,60,Wall Squat
589,20,Kettlebell Swing
590,26,Non-Exercise
591,26,Non-Exercise
592,1,Band Pull-Down Row
593,26,Non-Exercise
594,26,Non-Exercise
595,26,Non-Exercise
596,26,Non-Exercise
597,26,Non-Exercise
598,56,V-up
599,24,"Lunge (alternating both legs, weight optional)"
600,22,Lawnmower (left arm)
601,26,Non-Exercise
602,26,Non-Exercise
603,26,Non-Exercise
604,26,Non-Exercise
605,26,Non-Exercise
606,37,Shoulder Press (dumbbell)
607,8,Device on Table
608,31,Pushups
609,46,Squat Jump
610,26,Non-Exercise
611,6,Chest Press (rack)
612,26,Non-Exercise
613,26,Non-Exercise
614,26,Non-Exercise
615,37,Shoulder Press (dumbbell)
616,28,Plank
617,26,Non-Exercise
618,8,Device on Table
619,48,Static Stretch (at your own pace)
620,26,Non-Exercise
621,26,Non-Exercise
622,54,Triceps extension (lying down)
623,26,Non-Exercise
624,26,Non-Exercise
625,49,Static stretch
626,26,Non-Exercise
627,30,Pushup (knee or foot variation)
628,7,Crunch
629,13,Dumbbell Row (knee on bench) (right arm)
630,26,Non-Exercise
631,26,Non-Exercise
632,26,Non-Exercise
633,21,Lateral Raise
634,26,Non-Exercise
635,26,Non-Exercise
636,26,Non-Exercise
637,26,Non-Exercise
638,35,Russian Twist
639,31,Pushups
640,26,Non-Exercise
641,26,Non-Exercise
642,49,Static stretch
643,9,Dip
644,48,Static Stretch (at your own pace)
645,26,Non-Exercise
646,4,Burpee
647,26,Non-Exercise
648,26,Non-Exercise
649,26,Non-Exercise
650,26,Non-Exercise
651,28,Plank
652,14,Dumbbell Squat (hands at side)
653,8,Device on Table
654,52,Triceps Kickback (knee on bench) (left arm)
655,12,Dumbbell Row (knee on bench) (left arm)
656,26,Non-Exercise
657,59,Wall Ball
658,26,Non-Exercise
659,36,Seated Back Fly
660,39,Side Plank Right side
661,26,Non-Exercise
662,26,Non-Exercise
663,26,Non-Exercise
664,26,Non-Exercise
665,26,Non-Exercise
666,26,Non-Exercise
667,12,Dumbbell Row (knee on bench) (left arm)
668,49,Static stretch
669,26,Non-Exercise
670,26,Non-Exercise
671,26,Non-Exercise
672,26,Non-Exercise
673,26,Non-Exercise
674,50,Tap Right Device
675,34,Running (treadmill)
676,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
677,26,Non-Exercise
678,24,"Lunge (alternating both legs, weight optional)"
679,26,Non-Exercise
680,26,Non-Exercise
681,26,Non-Exercise
682,26,Non-Exercise
683,26,Non-Exercise
684,13,Dumbbell Row (knee on bench) (right arm)
685,26,Non-Exercise
686,26,Non-Exercise
687,11,Dumbbell Row (knee on bench) (label spans both arms)
688,44,Squat (hands behind head)
689,26,Non-Exercise
690,8,Device on Table
691,6,Chest Press (rack)
692,59,Wall Ball
693,7,Crunch
694,41,Sit-ups
695,8,Device on Table
696,26,Non-Exercise
697,26,Non-Exercise
698,26,Non-Exercise
699,26,Non-Exercise
700,26,Non-Exercise
701,48,Static Stretch (at your own pace)
702,56,V-up
703,34,Running (treadmill)
704,26,Non-Exercise
705,26,Non-Exercise
706,33,Rowing machine
707,26,Non-Exercise
708,26,Non-Exercise
709,36,Seated Back Fly
710,48,Static Stretch (at your own pace)
711,26,Non-Exercise
712,26,Non-Exercise
713,26,Non-Exercise
714,26,Non-Exercise
715,26,Non-Exercise
716,26,Non-Exercise
717,26,Non-Exercise
718,56,V-up
719,9,Dip
720,8,Device on Table
721,58,Walking lunge
722,26,Non-Exercise
723,26,Non-Exercise
724,26,Non-Exercise
725,26,Non-Exercise
726,42,Squat
727,12,Dumbbell Row (knee on bench) (left arm)
728,26,Non-Exercise
729,30,Pushup (knee or foot variation)
730,26,Non-Exercise
731,12,Dumbbell Row (knee on bench) (left arm)
732,26,Non-Exercise
733,60,Wall Squat
734,26,Non-Exercise
735,26,Non-Exercise
736,26,Non-Exercise
737,36,Seated Back Fly
738,15,Dynamic Stretch (at your own pace)
739,25,Medicine Ball Slam
740,27,Overhead Triceps Extension
741,24,"Lunge (alternating both legs, weight optional)"
742,26,Non-Exercise
743,26,Non-Exercise
744,47,Squat Rack Shoulder Press
745,26,Non-Exercise
746,26,Non-Exercise
747,26,Non-Exercise
748,26,Non-Exercise
749,26,Non-Exercise
750,18,Jump Rope
751,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
752,26,Non-Exercise
753,33,Rowing machine
754,38,Side Plank Left side
755,26,Non-Exercise
756,26,Non-Exercise
757,26,Non-Exercise
758,26,Non-Exercise
759,26,Non-Exercise
760,26,Non-Exercise
761,20,Kettlebell Swing
762,26,Non-Exercise
763,26,Non-Exercise
764,26,Non-Exercise
765,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
766,26,Non-Exercise
767,36,Seated Back Fly
768,51,Triceps Kickback (knee on bench) (label spans both arms)
769,26,Non-Exercise
770,26,Non-Exercise
771,40,Sit-up (hands positioned behind head)
772,26,Non-Exercise
773,35,Russian Twist
774,26,Non-Exercise
775,4,Burpee
776,26,Non-Exercise
777,37,Shoulder Press (dumbbell)
778,26,Non-Exercise
779,26,Non-Exercise
780,39,Side Plank Right side
781,26,Non-Exercise
782,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
783,26,Non-Exercise
784,26,Non-Exercise
785,26,Non-Exercise
786,2,Bicep Curl
787,26,Non-Exercise
788,27,Overhead Triceps Extension
789,26,Non-Exercise
790,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
791,50,Tap Right Device
792,26,Non-Exercise
793,26,Non-Exercise
794,26,Non-Exercise
795,15,Dynamic Stretch (at your own pace)
796,26,Non-Exercise
797,58,Walking lunge
798,26,Non-Exercise
799,26,Non-Exercise
800,25,Medicine Ball Slam
801,43,"Squat (arms in front of body, parallel to ground)"
802,58,Walking lunge
803,26,Non-Exercise
804,26,Non-Exercise
805,7,Crunch
806,26,Non-Exercise
807,26,Non-Exercise
808,26,Non-Exercise
809,59,Wall Ball
810,35,Russian Twist
811,59,Wall Ball
812,26,Non-Exercise
813,28,Plank
814,9,Dip
815,57,Walk
816,26,Non-Exercise
817,50,Tap Right Device
818,26,Non-Exercise
819,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
820,16,Elliptical machine
821,59,Wall Ball
822,26,Non-Exercise
823,24,"Lunge (alternating both legs, weight optional)"
824,8,Device on Table
825,27,Overhead Triceps Extension
826,29,Power Boat pose
827,26,Non-Exercise
828,33,Rowing machine
829,56,V-up
830,26,Non-Exercise
831,36,Seated Back Fly
832,26,Non-Exercise
833,26,Non-Exercise
834,51,Triceps Kickback (knee on bench) (label spans both arms)
835,11,Dumbbell Row (knee on bench) (label spans both arms)
836,26,Non-Exercise
837,27,Overhead Triceps Extension
838,9,Dip
839,26,Non-Exercise
840,1,Band Pull-Down Row
841,34,Running (treadmill)
842,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
843,54,Triceps extension (lying down)
844,20,Kettlebell Swing
845,32,Repetitive Stretching
846,26,Non-Exercise
847,8,Device on Table
848,25,Medicine Ball Slam
849,33,Rowing machine
850,16,Elliptical machine
851,26,Non-Exercise
852,56,V-up
853,19,Jumping Jacks
854,41,Sit-ups
855,28,Plank
856,26,Non-Exercise
857,26,Non-Exercise
858,28,Plank
859,54,Triceps extension (lying down)
860,43,"Squat (arms in front of body, parallel to ground)"
861,26,Non-Exercise
862,26,Non-Exercise
863,19,Jumping Jacks
864,26,Non-Exercise
865,23,Lawnmower (right arm)
866,28,Plank
867,26,Non-Exercise
868,26,Non-Exercise
869,36,Seated Back Fly
870,20,Kettlebell Swing
871,49,Static stretch
872,44,Squat (hands behind head)
873,26,Non-Exercise
874,23,Lawnmower (right arm)
875,26,Non-Exercise
876,54,Triceps extension (lying down)
877,26,Non-Exercise
878,26,Non-Exercise
879,26,Non-Exercise
880,23,Lawnmower (right arm)
881,26,Non-Exercise
882,26,Non-Exercise
883,8,Device on Table
884,24,"Lunge (alternating both legs, weight optional)"
885,26,Non-Exercise
886,17,Fast Alternating Punches
887,26,Non-Exercise
888,53,Triceps Kickback (knee on bench) (right arm)
889,26,Non-Exercise
890,51,Triceps Kickback (knee on bench) (label spans both arms)
891,15,Dynamic Stretch (at your own pace)
892,26,Non-Exercise
893,26,Non-Exercise
894,18,Jump Rope
895,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
896,28,Plank
897,26,Non-Exercise
898,50,Tap Right Device
899,26,Non-Exercise
900,48,Static Stretch (at your own pace)
901,50,Tap Right Device
902,26,Non-Exercise
903,8,Device on Table
904,26,Non-Exercise
905,21,Lateral Raise
906,26,Non-Exercise
907,40,Sit-up (hands positioned behind head)
908,26,Non-Exercise
909,26,Non-Exercise
910,34,Running (treadmill)
911,28,Plank
912,25,Medicine Ball Slam
913,20,Kettlebell Swing
914,26,Non-Exercise
915,45,Squat (kettlebell / goblet)
916,8,Device on Table
917,26,Non-Exercise
918,10,Dumbbell Deadlift Row
919,51,Triceps Kickback (knee on bench) (label spans both arms)
920,38,Side Plank Left side
921,38,Side Plank Left side
922,7,Crunch
923,26,Non-Exercise
924,47,Squat Rack Shoulder Press
925,60,Wall Squat
926,26,Non-Exercise
927,48,Static Stretch (at your own pace)
928,26,Non-Exercise
929,26,Non-Exercise
930,34,Running (treadmill)
931,44,Squat (hands behind head)
932,40,Sit-up (hands positioned behind head)
933,44,Squat (hands behind head)
934,26,Non-Exercise
935,50,Tap Right Device
936,26,Non-Exercise
937,26,Non-Exercise
938,44,Squat (hands behind head)
939,26,Non-Exercise
940,26,Non-Exercise
941,33,Rowing machine
942,26,Non-Exercise
943,23,Lawnmower (right arm)
944,58,Walking lunge
945,20,Kettlebell Swing
946,4,Burpee
947,22,Lawnmower (left arm)
948,60,Wall Squat
949,8,Device on Table
950,26,Non-Exercise
951,26,Non-Exercise
952,23,Lawnmower (right arm)
953,25,Medicine Ball Slam
954,54,Triceps extension (lying down)
955,26,Non-Exercise
956,26,Non-Exercise
957,30,Pushup (knee or foot variation)
958,26,Non-Exercise
959,26,Non-Exercise
960,46,Squat Jump
961,26,Non-Exercise
962,43,"Squat (arms in front of body, parallel to ground)"
963,26,Non-Exercise
964,9,Dip
965,26,Non-Exercise
966,26,Non-Exercise
967,26,Non-Exercise
968,4,Burpee
969,26,Non-Exercise
970,26,Non-Exercise
971,26,Non-Exercise
972,40,Sit-up (hands positioned behind head)
973,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
974,15,Dynamic Stretch (at your own pace)
975,4,Burpee
976,41,Sit-ups
977,26,Non-Exercise
978,26,Non-Exercise
979,26,Non-Exercise
980,9,Dip
981,26,Non-Exercise
982,47,Squat Rack Shoulder Press
983,6,Chest Press (rack)
984,22,Lawnmower (left arm)
985,11,Dumbbell Row (knee on bench) (label spans both arms)
986,37,Shoulder Press (dumbbell)
987,26,Non-Exercise
988,55,"Two-arm Dumbbell Curl (both arms, not alternating)"
989,26,Non-Exercise
990,57,Walk
991,18,Jump Rope
992,26,Non-Exercise
993,20,Kettlebell Swing
994,49,Static stretch
995,47,Squat Rack Shoulder Press
996,26,Non-Exercise
997,26,Non-Exercise
998,45,Squat (kettlebell / goblet)
999,14,Dumbbell Squat (hands at side)
1000,26,Non-Exercise
1001,43,"Squat (arms in front of body, parallel to ground)"
1002,39,Side Plank Right side
1003,26,Non-Exercise
1004,26,Non-Exercise
1005,47,Squat Rack Shoulder Press
1006,40,Sit-up (hands positioned behind head)
1007,26,Non-Exercise
1008,1,Band Pull-Down Row
1009,6,Chest Press (rack)
1010,7,Crunch
1011,1,Band Pull-Down Row
1012,26,Non-Exercise
1013,26,Non-Exercise
1014,26,Non-Exercise
1015,26,Non-Exercise
1016,21,Lateral Raise
1017,17,Fast Alternating Punches
1018,57,Walk
1019,26,Non-Exercise
1020,26,Non-Exercise
1021,50,Tap Right Device
1022,3,Biceps Curl (band)
1023,26,Non-Exercise
1024,14,Dumbbell Squat (hands at side)
1025,49,Static stretch
1026,16,Elliptical machine
1027,8,Device on Table
1028,28,Plank
1029,49,Static stretch
1030,26,Non-Exercise
